Group,Size,Range,File,Total Value,Total Weight,Time,Optimal?
04AlmostStronglyCorrelated,n00200,R01000,s000.kp,65385,51563,180.0052969,NO
04AlmostStronglyCorrelated,n00500,R01000,s000.kp,162154,127278,182.3516791,NO
04AlmostStronglyCorrelated,n01000,R01000,s000.kp,316415,245972,1.864718,YES
04AlmostStronglyCorrelated,n00050,R10000,s000.kp,175434,142280,1.5412428,YES
04AlmostStronglyCorrelated,n00100,R10000,s000.kp,355902,289960,0.0892565,YES
04AlmostStronglyCorrelated,n00200,R10000,s000.kp,653363,515198,180.0002396,NO
04AlmostStronglyCorrelated,n00500,R10000,s000.kp,1620463,1271681,180.0001769,NO
04AlmostStronglyCorrelated,n01000,R10000,s000.kp,3161935,2457530,180.000165,NO
05SubsetSum,n00050,R01000,s001.kp,11793,11793,0.000066,YES
05SubsetSum,n00100,R01000,s001.kp,25391,25391,0.000149,YES
05SubsetSum,n00200,R01000,s001.kp,48106,48106,0.0002143,YES
05SubsetSum,n00500,R01000,s001.kp,123764,123764,0.0005252,YES
05SubsetSum,n01000,R01000,s001.kp,254777,254777,0.0004356,YES
05SubsetSum,n00050,R01000,s000.kp,14239,14239,0.0001454,YES
05SubsetSum,n00100,R01000,s000.kp,29017,29017,0.000026,YES
05SubsetSum,n00200,R01000,s000.kp,51563,51563,0.0000472,YES
05SubsetSum,n00500,R01000,s000.kp,127278,127278,0.0001454,YES
05SubsetSum,n01000,R01000,s000.kp,245972,245972,0.0004652,YES
05SubsetSum,n00050,R10000,s000.kp,142283,142283,1.2185016,YES
05SubsetSum,n00100,R10000,s000.kp,289961,289961,0.00388,YES
05SubsetSum,n00200,R10000,s000.kp,515200,515200,0.0001655,YES
05SubsetSum,n00500,R10000,s000.kp,1271685,1271685,0.0072055,YES
05SubsetSum,n01000,R10000,s000.kp,2457533,2457533,0.0010788,YES
06UncorrelatedWithSimilarWeights,n00050,R01000,s001.kp,17920,2401186,0.0139978,YES
06UncorrelatedWithSimilarWeights,n00100,R01000,s001.kp,37000,4902351,2.9509661,YES
06UncorrelatedWithSimilarWeights,n00200,R01000,s001.kp,72399,9904984,0.0000091,YES
06UncorrelatedWithSimilarWeights,n00500,R01000,s001.kp,187312,24712830,180.0517964,NO
06UncorrelatedWithSimilarWeights,n01000,R01000,s001.kp,379545,49523374,7.9938664,YES
06UncorrelatedWithSimilarWeights,n00050,R01000,s000.kp,19676,2401482,0.0373735,YES
06UncorrelatedWithSimilarWeights,n00100,R01000,s000.kp,39791,4902253,7.8456681,YES
06UncorrelatedWithSimilarWeights,n00200,R01000,s000.kp,75678,9904900,0.0000055,YES
06UncorrelatedWithSimilarWeights,n00500,R01000,s000.kp,189769,24712055,180.1265163,NO
06UncorrelatedWithSimilarWeights,n01000,R01000,s000.kp,371246,49525319,0.0459721,YES
06UncorrelatedWithSimilarWeights,n00050,R10000,s000.kp,19676,2401482,0.0496352,YES
06UncorrelatedWithSimilarWeights,n00100,R10000,s000.kp,39791,4902253,7.636502,YES
06UncorrelatedWithSimilarWeights,n00200,R10000,s000.kp,75678,9904900,0.0000083,YES
06UncorrelatedWithSimilarWeights,n00500,R10000,s000.kp,189769,24712055,180.0001867,NO
06UncorrelatedWithSimilarWeights,n01000,R10000,s000.kp,371246,49525319,0.0859714,YES
07SpannerUncorrelated,n00050,R01000,s001.kp,11948,6578,3.0968747,YES
07SpannerUncorrelated,n00100,R01000,s001.kp,22147,11914,165.2167072,NO
07SpannerUncorrelated,n00200,R01000,s001.kp,43417,25921,179.2771988,NO
07SpannerUncorrelated,n00500,R01000,s001.kp,119279,63365,179.9610169,NO
07SpannerUncorrelated,n01000,R01000,s001.kp,232145,120497,180.0604827,NO
07SpannerUncorrelated,n00050,R01000,s000.kp,13472,4569,0.0034542,YES
07SpannerUncorrelated,n00100,R01000,s000.kp,24228,8748,159.4754603,NO
07SpannerUncorrelated,n00200,R01000,s000.kp,47836,17274,179.7565382,NO
07SpannerUncorrelated,n00500,R01000,s000.kp,114616,42898,179.8609216,NO
07SpannerUncorrelated,n01000,R01000,s000.kp,228624,84656,188.1282351,NO
07SpannerUncorrelated,n00050,R10000,s000.kp,135733,46295,0.0039272,YES
07SpannerUncorrelated,n00100,R10000,s000.kp,243893,88483,180.0707202,NO
07SpannerUncorrelated,n00200,R10000,s000.kp,482118,174792,180.0007575,NO
07SpannerUncorrelated,n00500,R10000,s000.kp,1155011,433675,180.0001996,NO
07SpannerUncorrelated,n01000,R10000,s000.kp,2304627,856119,180.0002379,NO
08SpannerWeaklyCorrelated,n00050,R01000,s001.kp,15276,6437,1.5118432,YES
08SpannerWeaklyCorrelated,n00100,R01000,s001.kp,27478,11951,179.8184836,NO
08SpannerWeaklyCorrelated,n00200,R01000,s001.kp,60080,23770,173.2559853,NO
